tinh,huyen,xa,Ho,x,y,prop.ho,songuoi,danso,pro.pop,area_km,songuoi_km,danso_km,distm_km,rank,geometry
Ha Noi,Hoan Kiem,Phuong Hang Trong,Mai,105.8505916,21.02868139,0.783630031,29,5415,0.5355494,0.366253974,79.18002817,14784.8225,0,1,
Ha Noi,Hoan Kiem,Phuong Hang Gai,Mai,105.8487201,21.03216735,0.783630031,11,5663,0.194243334,0.085223298,129.0726855,66448.96528,0.432213538,2,
Ha Noi,Hoan Kiem,Phuong Hang Bong,Mai,105.845851,21.02863457,0.783630031,46,7065,0.651096957,0.176479015,260.65422,40033.08836,0.492805603,3,
Ha Noi,Hoan Kiem,Phuong Hang Bac,Mai,105.8528036,21.03281901,0.783630031,40,5121,0.781097442,0.073520846,544.0633818,69653.71446,0.512576471,4,
Ha Noi,Hoan Kiem,Phuong Ly Thai To,Mai,105.8552579,21.0305446,0.783630031,37,5033,0.735148023,0.240646725,153.752352,20914.47534,0.527110132,5,
Ha Noi,Hoan Kiem,Phuong Trang Tien,Mai,105.8553147,21.02543179,0.783630031,21,4518,0.464807437,0.38695502,54.26987359,11675.77566,0.608690972,6,
Ha Noi,Hoan Kiem,Phuong Hang Dao,Mai,105.8501763,21.03449432,0.783630031,31,5318,0.582925912,0.06961075,445.3335144,76396.24612,0.645039723,7,
Ha Noi,Hoan Kiem,Phuong Cua Dong,Mai,105.8456083,21.03281001,0.783630031,35,5902,0.593019315,0.15450221,226.5339758,38200.10071,0.690853144,8,
Ha Noi,Hoan Kiem,Phuong Hang Bo,Mai,105.8480348,21.03489356,0.783630031,26,5139,0.505935007,0.088458645,293.9226577,58094.94377,0.737357701,9,
Ha Noi,Hoan Kiem,Phuong Tran Hung Dao,Mai,105.8467551,21.02290856,0.783630031,40,6704,0.596658711,0.468921379,85.30214607,14296.63968,0.753368793,10,
Ha Noi,Hoan Kiem,Phuong Hang Buom,Mai,105.8522996,21.03565019,0.783630031,28,5249,0.53343494,0.130433701,214.6684463,40242.66696,0.791732932,11,
Ha Noi,Hoan Kiem,Phuong Hang Bai,Mai,105.8520256,21.02125079,0.783630031,28,5265,0.531813865,0.278788801,100.4344504,18885.26362,0.836093064,12,
